Weeks	Group	Value
0	shControl	0
0	shControl	0
0	shControl	0
0	shControl	0
0	shControl	0
2	shControl	1.805
2	shControl	4.152
2	shControl	2.209
2	shControl	3.981
2	shControl	4.963
4	shControl	2.598
4	shControl	7.31
4	shControl	5.312
4	shControl	7.833
4	shControl	4.185
6	shControl	8.301
6	shControl	5.493
6	shControl	7.808
6	shControl	3.978
6	shControl	5.163
0	shM21B	2.737
0	shM21B	0
0	shM21B	0
0	shM21B	0
0	shM21B	0
2	shM21B	5.653
2	shM21B	8.281
2	shM21B	6.88
2	shM21B	6.509
2	shM21B	7.197
4	shM21B	6.68
4	shM21B	11.53
4	shM21B	7.048
4	shM21B	8.186
4	shM21B	7.439
6	shM21B	8.273
6	shM21B	7.371
6	shM21B	11.567
6	shM21B	10.379
6	shM21B	9.785
