Gene symbol	Shprmt1 /Scrmbl	Siprmt1 /Scrmbl	ShprmtOE /Scrmbl	ShprmtOE /Shprmt1	Scrmbl	Shprmt1	Siprmt1	ShprmtOE
IFI27	6.639	230.309	150.286	22.638	1.996	4.727	9.844	9.228
SUCNR1	6.262	18.627	13.008	2.077	1.795	4.441	6.014	5.496
FN1	6.262	2.964	3.067	0.490	1.795	4.441	3.362	3.412
SYTL2	5.833	6.151	15.023	2.575	1.356	3.900	3.977	5.265
LGALS9	5.692	17.207	26.792	4.707	3.983	6.492	8.088	8.727
CDH17	4.940	2.335	5.451	1.104	2.214	4.518	3.437	4.660
TOX3	4.921	4.303	4.430	0.900	3.527	5.826	5.632	5.674
CD70	4.499	1.233	0.983	0.218	1.795	3.964	2.096	1.770
APOL1	4.212	44.015	21.548	5.116	2.907	4.981	8.366	7.336
PGM2L1	4.209	4.275	3.106	0.738	4.554	6.627	6.650	6.189
HPGD	4.202	2.894	7.175	1.707	2.042	4.113	3.576	4.885
ATP10B	4.193	18.767	7.941	1.894	0.176	2.244	4.406	3.166
NPHP3	4.141	7.383	4.563	1.102	1.117	3.167	4.002	3.307
IFI6	4.038	126.117	92.938	23.016	5.288	7.302	12.267	11.827
GNPTAB	4.028	5.174	5.000	1.241	3.637	5.647	6.008	5.959
SND1-IT1	3.984	2.978	3.965	0.995	1.117	3.112	2.692	3.105
CYP3A5	3.975	4.125	4.882	1.228	1.356	3.347	3.400	3.643
INPP4B	3.892	2.818	3.839	0.986	0.176	2.137	1.671	2.117
LOC100129940	3.847	4.923	5.324	1.384	2.330	4.274	4.630	4.743
KIF15	3.806	3.950	4.229	1.111	2.632	4.560	4.614	4.712
WDHD1	3.801	3.755	3.134	0.825	2.570	4.497	4.479	4.218
ADD3	3.783	6.132	4.004	1.058	5.974	7.894	8.590	7.975
AMICA1	3.776	2.831	2.207	0.585	1.899	3.816	3.400	3.041
SLC16A3	3.759	6.030	1.382	0.368	2.438	4.348	5.030	2.905
PKD2	3.749	3.607	2.939	0.784	1.117	3.024	2.968	2.673
ACE2	3.742	13.209	5.972	1.596	0.176	2.080	3.900	2.754
TNFSF15	3.739	3.034	4.399	1.177	1.028	2.931	2.629	3.166
SPRR3	3.718	1.546	3.040	0.817	0.000	1.895	0.629	1.604
PKI55	3.718	1.546	2.669	0.718	0.000	1.895	0.629	1.416
GP2	3.718	1.546	1.185	0.319	0.000	1.895	0.629	0.245
PHGR1	3.688	1.490	10.302	2.793	5.104	6.987	5.679	8.469
DPP4	3.669	3.551	4.366	1.190	1.495	3.371	3.323	3.622
ZNF600	3.592	2.427	3.079	0.857	0.722	2.567	2.001	2.345
ITPR2	3.581	4.006	4.289	1.198	2.720	4.560	4.722	4.820
LOC101928694	3.577	9.245	3.288	0.919	1.356	3.194	4.565	3.073
LY75	3.531	4.256	3.254	0.922	0.475	2.295	2.564	2.177
KIAA1551	3.495	2.431	3.821	1.093	3.724	5.529	5.006	5.658
CYP4F12	3.489	3.585	4.764	1.365	0.722	2.525	2.564	2.975
INPP5D	3.489	0.490	1.490	0.427	1.028	2.831	0.000	1.604
TMEM132B	3.488	3.066	4.103	1.176	1.495	3.298	3.112	3.532
PPP1R9A	3.443	2.971	4.106	1.193	3.971	5.755	5.542	6.009
LOC101927543	3.409	2.881	5.122	1.503	0.475	2.244	2.001	2.832
CYP4F11	3.409	2.291	4.188	1.229	0.475	2.244	1.671	2.541
NME9	3.409	3.273	1.653	0.485	0.475	2.244	2.186	1.200
MRS2P2	3.386	6.730	6.001	1.772	0.722	2.482	3.473	3.307
PLD1	3.382	2.779	2.449	0.724	1.682	3.440	3.157	2.975
MAP7D2	3.378	1.546	4.523	1.339	0.000	1.756	0.629	2.177
NRBP2	3.348	1.985	2.167	0.647	1.281	3.024	2.270	2.396
FAM161A	3.332	6.713	4.124	1.238	2.131	3.867	4.878	4.175
LRRTM2	3.322	5.979	4.126	1.242	1.028	2.760	3.608	3.073
KIAA1407	3.307	5.466	3.075	0.930	2.330	4.056	4.781	3.951
HECTD1	3.287	4.182	3.948	1.201	5.199	6.916	7.263	7.181
ZNF420	3.286	5.434	5.522	1.680	0.475	2.191	2.917	2.940
FAM106A	3.286	2.291	3.521	1.071	0.475	2.191	1.671	2.291
ANKRD20A5P	3.283	0.606	2.741	0.835	0.722	2.437	0.000	2.177
