Hugo_Symbol	Entrez_Gene_Id	TCGA-BR-6564-11A-01R-1884-13	TCGA-HU-A4GH-11A-11R-A36D-31	TCGA-IN-8663-11A-01R-2402-13	TCGA-HU-8238-11A-01R-2343-13	TCGA-BR-7716-11A-01R-2055-13	TCGA-FP-7735-11A-01R-2055-13	TCGA-HU-A4GY-11A-11R-A36D-31	TCGA-IN-AB1X-11A-21R-A39E-31	TCGA-CG-5720-11A-01R-1602-13	TCGA-IN-8462-11A-01R-2343-13	TCGA-BR-7704-11A-01R-2055-13	TCGA-CG-5722-11A-02R-1602-13	TCGA-BR-6458-11A-01R-1802-13	TCGA-HU-A4HB-11A-11R-A251-31	TCGA-CG-5734-11A-01R-1602-13	TCGA-IN-AB1V-11A-11R-A414-31	TCGA-FP-7829-11A-01R-2055-13	TCGA-BR-6453-11A-01R-1802-13	TCGA-BR-6457-11A-01R-1802-13	TCGA-IP-7968-11A-01R-2203-13	TCGA-HU-A4GN-11A-12R-A251-31	TCGA-HU-A4GP-11A-21R-A251-31	TCGA-CG-5730-11A-01R-1602-13	TCGA-IN-7806-11A-01R-2055-13	TCGA-BR-6454-11A-01R-1802-13	TCGA-BR-7715-11A-01R-2055-13	TCGA-CG-5733-11A-01R-1602-13	TCGA-BR-6852-11A-01R-1884-13	TCGA-BR-6802-11A-01R-1884-13	TCGA-HU-A4G3-11A-11R-A24K-31	TCGA-BR-7851-11A-01R-2203-13	TCGA-CG-5721-11A-01R-1602-13	TCGA-BR-7717-11A-01R-2055-13
COL4A1	1282	1208.34	4038.61	153.34	172.65	708.18	3589.58	3639.7	406.31	551.56	256.78	2271.4	1159.07	660.68	5366.37	373.81	1111.82	3372.43	497	961.07	872.1	2645.74	4543.8	305.55	287.01	1088.92	379.04	733.19	387.02	140.04	4869.99	414.87	269.6	480.04
IFT27	11020	620.67	713.11	256.78	583.07	638.15	872.1	679.29	251.48	703.28	287.01	638.15	693.58	647.07	466.88	748.61	314.17	595.34	583.07	543.96	297.17	890.44	607.87	688.78	379.04	579.04	728.11	753.83	718.08	836.53	575.03	457.25	775.05	764.36
ZNF607	84775	50.27	55.89	82.29	23.08	72.52	53.19	84.63	94.01	30.56	64.8	59.13	57.89	69.03	54.72	28.86	107.38	94.67	44.57	29.48	41.22	65.26	86.43	31.67	68.07	38.12	47.17	47.5	28.65	32.36	88.26	52.08	45.21	28.45
CSRP3	8048	0	0	0	0	0	0	0	1.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REC8	9985	1059.11	629.35	41.81	551.56	260.38	518.15	368.65	246.28	1059.11	226.54	947.83	283.05	1127.35	480.04	830.75	158.79	281.09	647.07	607.87	220.32	567.1	555.41	332.14	88.26	1073.91	1304.15	1096.5	2018.8	55.1	559.28	775.05	1143.1	813.63
HEPHL1	341208	0	0	25.91	0.79	0.52	0.28	0.92	30.56	0.58	67.59	0	0.58	0.75	0.67	0.28	44.89	59.97	0	0	12.45	0	0	0.27	29.48	0.99	0	0.37	0.27	0.66	0	0	0.4	0.95
RPIA	22934	356.05	135.24	563.18	323.03	441.64	115.97	128.79	307.69	332.14	351.14	277.2	400.71	356.05	120.94	279.14	287.01	126.12	438.59	353.59	264.03	158.79	169.07	287.01	423.61	277.2	409.15	417.77	373.81	429.54	137.14	387.02	318.57	409.15
AGAP10	642517	137.14	106.63	41.52	58.3	24.46	50.27	128.79	183.82	115.16	108.14	65.26	33.54	76.17	69.52	73.54	109.66	86.43	57.89	44.57	52.45	41.81	75.11	76.17	48.18	56.28	115.97	74.06	18.29	5.59	166.73	162.14	26.28	43.02
SRP9	6726	2895.31	3716.2	4358.66	2935.74	3768.09	3768.09	3982.99	3303	2720.15	3060.45	2835.7	2335.28	3955.48	4038.61	2777.33	3372.43	3589.58	3820.7	2956.17	2816.11	4298.64	3690.52	3168.41	3081.75	2895.31	4123.49	3419.52	4095	7966.99	3190.46	3124.78	3515.68	4769.75
CTB-58E17.5	0	4.94	9.85	6.41	4.66	8.78	3.08	9.63	11.3	7.51	7.82	14.03	13.83	6.62	4.39	6.01	5.5	12.64	2.73	3.59	25.54	4.21	6.94	5.36	13.12	3.72	4.74	3.2	9.93	2.73	7.88	8.85	2.84	7.46
ETV4	2118	150.17	10.39	113.56	55.89	75.11	7.63	7.82	244.57	91.41	82.29	82.29	68.07	63.89	8.65	197.09	102.25	21.16	198.47	84.63	220.32	10.96	6.67	246.28	136.19	71.5	92.7	88.88	119.26	64.34	13.93	151.22	108.14	92.7
